Тип |д1,мм |S,см2|Нарузка: неконтроллируемая затяжка|Нарузка: контроллируемая затяжка|Коеф. зап. при стат. нагр|Коеф. зап. при динам. нагр|
М6  |4,918 | 0,19|  85|  375|   5| 1,5|
М8  |6,647 | 0,34| 150|  660| 4,8|1,57|
М10 |8,376 | 0,53| 250| 1050| 4,6|1,64|
М12 |10,106| 0,78| 380| 1475| 4,4|1,71|
М14 |11,835| 1,06| 520| 2100| 4,2|1,78|
М16 |13,835| 1,45| 770| 2800|   4|1,85|
М18 |15,294| 1,76|1050| 3400|3,75|1,92|
М20 |17,294| 2,33|1475| 4500| 3,5|1,99|
М22 |19,294| 2,86|1950| 5600|3,25|2,06|
М24 |20,752| 3,31|2400| 6500|   3|2,13|
М27 |23,752| 4,35|3400| 8500|2,75| 2,2|
М30 |26,211| 5,22|4600|10300| 2,5|2,27|
М36 |31,670| 7,85|7350|15500|   2|2,34|
